task_id -- core -- memory -- virtual_memory -- disk -- time -- average_cores -- tag
129 -- 1 -- 258 -- 0 -- 670 -- 21.344 -- 0 -- 2
130 -- 1 -- 272 -- 0 -- 670 -- 25.881 -- 0 -- 2
131 -- 1 -- 247 -- 0 -- 670 -- 22.396 -- 0 -- 2
132 -- 1 -- 274 -- 0 -- 670 -- 25.194 -- 0 -- 2
133 -- 1 -- 280 -- 0 -- 670 -- 22.735 -- 0 -- 2
134 -- 1 -- 239 -- 0 -- 670 -- 24.849 -- 0 -- 2
135 -- 1 -- 287 -- 0 -- 670 -- 21.34 -- 0 -- 2
136 -- 1 -- 245 -- 0 -- 670 -- 24.59 -- 0 -- 2
137 -- 1 -- 290 -- 0 -- 670 -- 24.616 -- 0 -- 2
138 -- 1 -- 254 -- 0 -- 670 -- 15.781 -- 0 -- 2
139 -- 1 -- 264 -- 0 -- 670 -- 17.366 -- 0 -- 2
140 -- 1 -- 285 -- 0 -- 670 -- 15.995 -- 0 -- 2
141 -- 1 -- 243 -- 0 -- 670 -- 18.371 -- 0 -- 2
142 -- 1 -- 287 -- 0 -- 670 -- 21.452 -- 0 -- 2
143 -- 1 -- 289 -- 0 -- 670 -- 22.285 -- 0 -- 2
144 -- 1 -- 255 -- 0 -- 670 -- 21.356 -- 0 -- 2
145 -- 1 -- 288 -- 0 -- 670 -- 16.496 -- 0 -- 2
146 -- 1 -- 235 -- 0 -- 670 -- 19.33 -- 0 -- 2
147 -- 1 -- 242 -- 0 -- 670 -- 23.285 -- 0 -- 2
148 -- 1 -- 285 -- 0 -- 670 -- 22.28 -- 0 -- 2
149 -- 1 -- 271 -- 0 -- 670 -- 18.652 -- 0 -- 2
150 -- 1 -- 283 -- 0 -- 670 -- 18.932 -- 0 -- 2
151 -- 1 -- 263 -- 0 -- 670 -- 19.227 -- 0 -- 2
152 -- 1 -- 251 -- 0 -- 670 -- 18.65 -- 0 -- 2
153 -- 1 -- 259 -- 0 -- 670 -- 18.103 -- 0 -- 2
154 -- 1 -- 285 -- 0 -- 670 -- 19.789 -- 0 -- 2
155 -- 1 -- 249 -- 0 -- 670 -- 18.485 -- 0 -- 2
156 -- 1 -- 261 -- 0 -- 670 -- 19.395 -- 0 -- 2
157 -- 1 -- 279 -- 0 -- 670 -- 21.676 -- 0 -- 2
158 -- 1 -- 248 -- 0 -- 670 -- 19.266 -- 0 -- 2
159 -- 1 -- 242 -- 0 -- 670 -- 24.139 -- 0 -- 2
160 -- 1 -- 255 -- 0 -- 670 -- 25.179 -- 0 -- 2
161 -- 1 -- 261 -- 0 -- 670 -- 20.861 -- 0 -- 2
162 -- 1 -- 277 -- 0 -- 670 -- 23.606 -- 0 -- 2
163 -- 1 -- 263 -- 0 -- 670 -- 23.634 -- 0 -- 2
164 -- 1 -- 259 -- 0 -- 670 -- 17.587 -- 0 -- 2
165 -- 1 -- 259 -- 0 -- 670 -- 19.393 -- 0 -- 2
166 -- 1 -- 283 -- 0 -- 670 -- 16.934 -- 0 -- 2
167 -- 1 -- 280 -- 0 -- 670 -- 16.777 -- 0 -- 2
