taskid -- core -- memory -- virtual_memory -- disk -- time -- average_cores
11 -- 1 -- 3536 -- 359203 -- 5 -- 846.858444 -- 0.5590000000000001
10 -- 1 -- 7514 -- 358903 -- 7 -- 847.84193 -- 0.556
14 -- 1 -- 1782 -- 358905 -- 8 -- 846.118785 -- 0.5570000000000001
15 -- 1 -- 12847 -- 358423 -- 6 -- 848.442141 -- 0.5600000000000001
17 -- 1 -- 10560 -- 358806 -- 7 -- 849.232321 -- 0.5679999999999999
6 -- 1 -- 24064 -- 359193 -- 6 -- 855.4231559999999 -- 0.5600000000000001
8 -- 1 -- 13260 -- 358929 -- 6 -- 856.209867 -- 0.57
20 -- 1 -- 11492 -- 358682 -- 6 -- 851.654362 -- 0.556
25 -- 1 -- 11492 -- 358964 -- 5 -- 845.981455 -- 0.5590000000000001
99 -- 1 -- 2670 -- 359092 -- 9 -- 794.28196 -- 0.795
5 -- 1 -- 16011 -- 359134 -- 5 -- 864.335072 -- 0.576
7 -- 1 -- 24549 -- 359100 -- 6 -- 864.692264 -- 0.574
100 -- 1 -- 17848 -- 358887 -- 7 -- 845.947104 -- 0.5679999999999999
101 -- 1 -- 20597 -- 359318 -- 6 -- 856.764751 -- 0.5639999999999999
102 -- 1 -- 24009 -- 358959 -- 7 -- 873.473822 -- 0.594
136 -- 2 -- 2688 -- 359229 -- 5 -- 379.766043 -- 1.249
137 -- 2 -- 2220 -- 358991 -- 5 -- 384.634048 -- 1.273
142 -- 2 -- 7565 -- 358939 -- 5 -- 366.289174 -- 1.474
143 -- 2 -- 7152 -- 358817 -- 5 -- 359.802628 -- 1.435
144 -- 2 -- 7152 -- 358828 -- 6 -- 361.874018 -- 1.44
147 -- 2 -- 7144 -- 359057 -- 5 -- 361.266003 -- 1.44
148 -- 2 -- 6675 -- 358844 -- 5 -- 358.122901 -- 1.459
152 -- 2 -- 8493 -- 359050 -- 5 -- 368.574258 -- 1.412
153 -- 2 -- 20919 -- 359551 -- 5 -- 358.964499 -- 1.4
154 -- 2 -- 21952 -- 359060 -- 5 -- 370.251447 -- 1.413
155 -- 2 -- 3996 -- 359026 -- 5 -- 375.272552 -- 1.464
156 -- 2 -- 3349 -- 359221 -- 5 -- 384.455821 -- 1.425
157 -- 2 -- 3568 -- 358948 -- 5 -- 368.650434 -- 1.457
158 -- 2 -- 3122 -- 359057 -- 5 -- 359.515474 -- 1.411
159 -- 2 -- 8190 -- 358921 -- 5 -- 315.788425 -- 1.521
160 -- 2 -- 7935 -- 359339 -- 5 -- 319.395644 -- 1.553
161 -- 2 -- 7436 -- 359160 -- 5 -- 312.135611 -- 1.543
162 -- 2 -- 6314 -- 359401 -- 5 -- 316.879325 -- 1.517
163 -- 2 -- 5798 -- 358898 -- 5 -- 313.500486 -- 1.524
164 -- 2 -- 11217 -- 359499 -- 5 -- 303.963607 -- 1.502
165 -- 2 -- 4432 -- 359034 -- 5 -- 322.912229 -- 1.536
