,whole_machine,boxing_machine,boxing_machine,boxing_machine,declare_resources,k_means_bucketing,k_means_bucketing,k_means_bucketing,k_means_bucketing,k_means_bucketing,cold_bucketing,cold_bucketing,cold_bucketing,cold_bucketing,cold_bucketing
#buckets,x,x,x,x,x,1,2,2,3,4,1,2,2,2,3
# cold starts,x,x,x,x,x,10,10,10,10,20,10,10,10,5,10
diagonal?,x,"[0.125, 0.25, 0.5, 1]","[0.25, 0.5, 1]","[0.25, 0.5, 0.75, 1]",x,1,0,1,1,1,0,0,1,1,1
avg_int_frag_mem_t,509489564.81884384,53568454.183526866,118700041.41714346,118700041.41714346,672318532.9028875,4008752.7982641333,2751534.118174083,2751534.118174083,2594668.3790645315,2965397.133071529,4008752.7982641333,3616889.5169434734,3616889.5169434734,3456577.0802551284,3014793.057053523
mem_t_utilization,0.02219186868695422,0.1775349494956232,0.08876747474781332,0.08876747474781332,0.016908090428153222,0.7407492226918984,0.6194177063388955,0.6194177063388955,0.4763277525835249,0.36897354416189077,0.7407492226918984,0.4723280494227282,0.4723280494227282,0.47533290617528945,0.36717969819906415
no_cold_mem_t_util,0,0,0,0,0,0.7651112687766197,0.6362629608365201,0.6362629608365201,0.4861217244851497,0.3810100954938964,0.7651112687766197,0.48195277790739965,0.48195277790739965,0.479842790895898,0.3728924456472972
total_disk_t,1041584343040.0,130198042880.0,260396085760.0,260396085760.0,1041665716816.7992,23883699216.270035,31285682734.780018,31285682734.780018,41342752042.9399,54416732808.76991,23883699216.270035,40527370006.3599,40527370006.3599,40216472832.919914,54246646279.69996
avg_total_disk_t,521052697.86893445,65131587.23361681,130263174.46723361,130263174.46723361,521093405.11095506,11947823.519894965,15650666.700740378,15650666.700740378,20681716.879909907,27221977.393081497,11947823.519894965,20273821.91413702,20273821.91413702,20118295.56424208,27136891.5856428
wdisk_t,1021753553633.8391,110367253473.83984,240565296353.84003,240565296353.84003,1021834927410.6404,4052909810.1099997,11454893328.619982,11454893328.619982,21511962636.780018,34585943402.60999,4052909810.1099997,20696580600.20004,20696580600.20004,20385683426.76004,34415856873.53999
avg_wdisk_t,511132342.98841375,55211232.35309647,120342819.58671337,120342819.58671337,511173050.23043543,2027468.639374687,5730311.820220101,5730311.820220101,10761361.999389704,17301622.512561277,2027468.639374687,10353467.033616828,10353467.033616828,10197940.683721881,17216536.705122557
wfail_alloc_disk_t,0,0,0,0,0,58089063.1,7460072581.609997,7460072581.609997,17517141889.770004,29539448403.39,58089063.1,16701759853.190002,16701759853.190002,16712065390.050003,30421036126.530018
avg_wfail_alloc_disk_t,0,0.0,0.0,0.0,0,29059.061080540272,3731902.2419259613,3731902.2419259613,8762952.42109555,14777112.758074036,29059.061080540272,8355057.455322662,8355057.455322662,8360212.801425714,15218127.126828423
int_frag_disk_t,1021753553633.8391,110367253473.83984,240565296353.84003,240565296353.84003,1021834927410.6404,3994820747.0099998,3994820747.0099998,3994820747.0099998,3994820747.0099998,5046494999.219999,3994820747.0099998,3994820747.0099998,3994820747.0099998,3673618036.7099996,3994820747.0099998
avg_int_frag_disk_t,511132342.98841375,55211232.35309647,120342819.58671337,120342819.58671337,511173050.23043543,1998409.578294147,1998409.578294147,1998409.578294147,1998409.578294147,2524509.7544872435,1998409.578294147,1998409.578294147,1998409.578294147,1837727.8822961478,1998409.578294147
disk_t_utilization,0.01903906250000087,0.15231250000000118,0.07615624999999993,0.07615624999999993,0.01903757518943716,0.8303064456887366,0.6338614878336768,0.6338614878336768,0.47966786017445073,0.3644244772255777,0.8303064456887366,0.4893184384540089,0.4893184384540089,0.4931011600283113,0.3655671044420121
num_retries,0,0,0,0,1999,26,713,713,1565,2832,26,1679,1679,1686,3042
num_retries_bucket,0,0,0,0,0,13,700,700,1552,2819,13,1666,1666,1671,3029
num_retries_machine,0,0,0,0,0,13,13,13,13,13,13,13,13,15,13
total_run_time,8137377.679999994,8137377.679999994,8137377.679999994,8137377.679999994,8137377.679999994,8185050.279999993,11222384.509999987,11222384.509999987,15349208.190000014,20282448.44999997,8185050.279999993,15014623.850000005,15014623.850000005,15020543.710000005,20644199.66999997
avg_run_time,4070.7242021010475,4070.7242021010475,4070.7242021010475,4070.7242021010475,4070.7242021010475,4094.572426213103,5613.999254627307,5613.999254627307,7678.443316658337,10146.297373686828,4094.572426213103,7511.067458729367,7511.067458729367,7514.02886943472,10327.263466733351
